journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
17586423,7246521b-a0cf-41cb-ba9f-63f675a8627d,2023-08-20T14:40:00+02:00,2023-08-20,14:40:00,1.046,49.681,76700,76,TÃ´tes,CC Terroir de Caux,France,2023-08-20T15:00:00+02:00,2023-08-20,15:00:00,1.094,49.448,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,1,C,35514,27,NON
17574411,03acb118-12c7-4093-ae7f-9ca9c6057727,2023-08-20T14:50:00+02:00,2023-08-20,14:50:00,1.067,49.431,76498,76,Le Petit-Quevilly,MÃ©tropole Rouen Normandie,France,2023-08-20T15:10:00+02:00,2023-08-20,15:10:00,1.127,49.435,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,1,C,6105,17,NON
17574416,e2c979a1-5539-41ce-8eb8-d6ae695347dc,2023-08-20T15:00:00+02:00,2023-08-20,15:00:00,1.094,49.473,76451,76,Mont-Saint-Aignan,MÃ©tropole Rouen Normandie,France,2023-08-20T15:10:00+02:00,2023-08-20,15:10:00,1.069,49.449,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,1,C,4923,12,NON
17574606,5883e031-b439-41bd-8407-58eb45091ec2,2023-08-20T15:00:00+02:00,2023-08-20,15:00:00,1.1,49.433,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,2023-08-20T15:20:00+02:00,2023-08-20,15:20:00,1.074,49.419,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,1,C,4797,15,NON
17575302,a4304767-e5db-472b-879b-cc3c4b57628e,2023-08-20T15:00:00+02:00,2023-08-20,15:00:00,0.947,49.293,27582,27,Saint-Ouen-du-Tilleul,CC Roumois Seine,France,2023-08-20T15:30:00+02:00,2023-08-20,15:30:00,1.095,49.446,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,1,C,24510,37,NON
17574844,4e11bc53-f181-4bf0-82cd-30bb51fdd7c4,2023-08-20T15:40:00+02:00,2023-08-20,15:40:00,1.135,49.462,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,2023-08-20T16:00:00+02:00,2023-08-20,16:00:00,1.088,49.338,76484,76,Oissel,MÃ©tropole Rouen Normandie,France,1,C,18078,21,NON
17574875,414c698f-c915-4daa-9abc-e561e1e623cc,2023-08-20T15:40:00+02:00,2023-08-20,15:40:00,1.11,49.439,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,2023-08-20T16:10:00+02:00,2023-08-20,16:10:00,1.031,49.528,76402,76,Malaunay,MÃ©tropole Rouen Normandie,France,1,C,18829,34,NON
17574878,011e78ac-3592-4557-bd57-36a4ce903e9f,2023-08-20T15:40:00+02:00,2023-08-20,15:40:00,1.125,49.44,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,2023-08-20T16:10:00+02:00,2023-08-20,16:10:00,0.997,49.416,76157,76,Canteleu,MÃ©tropole Rouen Normandie,France,1,C,12821,26,NON
17574908,8d31359f-ba95-4eb8-8e99-98d307b322b3,2023-08-20T15:40:00+02:00,2023-08-20,15:40:00,1.12,49.434,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,2023-08-20T16:00:00+02:00,2023-08-20,16:00:00,1.144,49.39,76069,76,Belbeuf,MÃ©tropole Rouen Normandie,France,1,C,8534,20,NON
17574834,60cc3986-cabf-4973-b0bb-9eff3d878b83,2023-08-20T15:50:00+02:00,2023-08-20,15:50:00,1.115,49.457,76095,76,Bihorel,MÃ©tropole Rouen Normandie,France,2023-08-20T16:00:00+02:00,2023-08-20,16:00:00,1.093,49.446,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,1,C,2890,10,NON
17574822,60cc3986-cabf-4973-b0bb-9eff3d878b83,2023-08-20T15:50:00+02:00,2023-08-20,15:50:00,1.115,49.457,76095,76,Bihorel,MÃ©tropole Rouen Normandie,France,2023-08-20T16:00:00+02:00,2023-08-20,16:00:00,1.093,49.446,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,1,C,2890,10,NON
17574827,60cc3986-cabf-4973-b0bb-9eff3d878b83,2023-08-20T15:50:00+02:00,2023-08-20,15:50:00,1.115,49.457,76095,76,Bihorel,MÃ©tropole Rouen Normandie,France,2023-08-20T16:00:00+02:00,2023-08-20,16:00:00,1.093,49.446,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,1,C,2890,10,NON
17574919,879b66d6-ccfa-4fe0-bcd0-50ce71ca3f7e,2023-08-20T15:50:00+02:00,2023-08-20,15:50:00,1.107,49.37,76575,76,Saint-Ãtienne-du-Rouvray,MÃ©tropole Rouen Normandie,France,2023-08-20T16:10:00+02:00,2023-08-20,16:10:00,1.092,49.448,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,1,C,16644,18,NON
17574953,89333de9-52e2-42f4-a3bd-36e5c47ec05e,2023-08-20T15:50:00+02:00,2023-08-20,15:50:00,0.92,49.548,76135,76,Bouville,CC Caux - Austreberthe,France,2023-08-20T16:10:00+02:00,2023-08-20,16:10:00,1.096,49.443,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,1,C,19543,20,NON
17575237,7fa02432-46ef-4657-9428-14de579bea65,2023-08-20T16:10:00+02:00,2023-08-20,16:10:00,0.902,49.145,27428,27,Le Neubourg,CC du Pays du Neubourg,France,2023-08-20T16:50:00+02:00,2023-08-20,16:50:00,1.082,49.446,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,1,C,46364,42,NON
17575235,7fa02432-46ef-4657-9428-14de579bea65,2023-08-20T16:10:00+02:00,2023-08-20,16:10:00,0.902,49.145,27428,27,Le Neubourg,CC du Pays du Neubourg,France,2023-08-20T16:50:00+02:00,2023-08-20,16:50:00,1.082,49.446,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,1,C,46364,42,NON
17575133,86e33c2d-6f10-402d-9596-54fe5c2879a8,2023-08-20T16:20:00+02:00,2023-08-20,16:20:00,1.1,49.439,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,2023-08-20T16:40:00+02:00,2023-08-20,16:40:00,1.024,49.337,76319,76,Grand-Couronne,MÃ©tropole Rouen Normandie,France,1,C,16379,19,NON
17575198,035d67bc-188f-4dbe-baf3-bf1529e74cea,2023-08-20T16:20:00+02:00,2023-08-20,16:20:00,0.812,49.367,27340,27,Honguemare-Guenouville,CC Roumois Seine,France,2023-08-20T17:00:00+02:00,2023-08-20,17:00:00,1.084,49.446,76540,76,Rouen,MÃ©tropole Rouen Normandie,France,1,C,31215,35,NON
